cell_id,cloud_pct,lat_center,lon_center,date,NDWI
c0511,8.926188468933105,38.307315,16.069384,2022-07-02,
c0511,13.804829597473145,38.307315,16.069384,2022-07-03,-0.684435544322488
c0511,13.016522407531738,38.307315,16.069384,2022-07-04,
c0511,12.64620876312256,38.307315,16.069384,2022-07-05,
c0511,7.609029769897461,38.307315,16.069384,2022-07-06,-0.692666409847637
c0511,35.00491714477539,38.307315,16.069384,2022-07-07,
c0511,35.09270095825195,38.307315,16.069384,2022-07-08,-0.1222376727070277
c0511,14.464973449707031,38.307315,16.069384,2022-07-09,
c0511,11.921481132507324,38.307315,16.069384,2022-07-10,
c0511,18.825456619262695,38.307315,16.069384,2022-07-11,-0.7089908796673019
c0511,17.81700325012207,38.307315,16.069384,2022-07-12,
c0511,6.694981098175049,38.307315,16.069384,2022-07-13,-0.6193657051608011
c0511,16.12444496154785,38.307315,16.069384,2022-07-14,
c0511,7.266695976257324,38.307315,16.069384,2022-07-15,
c0511,6.021890640258789,38.307315,16.069384,2022-07-16,-0.6906391131924465
c0511,3.5173637866973877,38.307315,16.069384,2022-07-17,
c0511,8.62197208404541,38.307315,16.069384,2022-07-18,-0.685118373800233
c0511,1.3721935749053955,38.307315,16.069384,2022-07-19,
c0511,4.7897233963012695,38.307315,16.069384,2022-07-20,
c0511,5.02830171585083,38.307315,16.069384,2022-07-21,-0.6907309227002164
c0511,1.9448784589767456,38.307315,16.069384,2022-07-22,
c0511,18.593515396118164,38.307315,16.069384,2022-07-23,-0.6859052536949036
c0511,5.453188896179199,38.307315,16.069384,2022-07-24,
c0511,4.386943817138672,38.307315,16.069384,2022-07-25,
c0511,20.67603302001953,38.307315,16.069384,2022-07-26,-0.6991657295729965
c0511,30.978172302246097,38.307315,16.069384,2022-07-27,
c0511,22.82554054260254,38.307315,16.069384,2022-07-28,-0.5958078399606465
c0511,9.720544815063477,38.307315,16.069384,2022-07-29,
c0511,8.292047500610352,38.307315,16.069384,2022-07-30,
c0511,15.226736068725586,38.307315,16.069384,2022-07-31,-0.686415702337399
